Tabela,ModelPair,HardDice_Lex_mean,SoftDice_Sem_mean
public.rl_atend_tipo_servico,GEMINI__VS__MISTRAL,0.1111111111111111,0.6665472428003947
public.rl_atend_tipo_servico,GEMINI__VS__OPENAI,0.0,0.5554362244076199
public.rl_atend_tipo_servico,MISTRAL__VS__OPENAI,0.6666666666666666,0.6666662096977234
public.rl_ativ_col_lot_env,DEEPSEEK__VS__GEMINI,0.0,0.6639972660276624
public.rl_ativ_col_lot_env,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.5507268110911051
public.rl_ativ_col_lot_env,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.5796705285708109
public.rl_ativ_col_lot_env,GEMINI__VS__MISTRAL,0.0,0.5674701001909043
public.rl_ativ_col_lot_env,GEMINI__VS__OPENAI,0.0,0.49382879336675006
public.rl_ativ_col_lot_env,MISTRAL__VS__OPENAI,0.3333333333333333,0.622142473856608
public.rl_ativ_col_pratica_saude,DEEPSEEK__VS__GEMINI,0.0,0.6938520603709751
public.rl_ativ_col_pratica_saude,DEEPSEEK__VS__MISTRAL,0.6666666666666666,0.8178824848598903
public.rl_ativ_col_pratica_saude,DEEPSEEK__VS__OPENAI,0.6666666666666666,0.8178824848598903
public.rl_ativ_col_pratica_saude,GEMINI__VS__MISTRAL,0.0,0.6435887217521667
public.rl_ativ_col_pratica_saude,GEMINI__VS__OPENAI,0.0,0.6435887217521667
public.rl_ativ_col_pratica_saude,MISTRAL__VS__OPENAI,1.0,0.999999205271403
public.rl_ativ_col_publico_alvo,DEEPSEEK__VS__GEMINI,0.0,0.6141973358613473
public.rl_ativ_col_publico_alvo,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.7624296170693856
public.rl_ativ_col_publico_alvo,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.7798168681286
public.rl_ativ_col_publico_alvo,GEMINI__VS__MISTRAL,0.0,0.5707566980962401
public.rl_ativ_col_publico_alvo,GEMINI__VS__OPENAI,0.0,0.5056279367870755
public.rl_ativ_col_publico_alvo,MISTRAL__VS__OPENAI,0.6666666666666666,0.6666661699612936
public.rl_ativ_col_tema_reuniao,DEEPSEEK__VS__GEMINI,0.4444444444444444,0.857180290751987
public.rl_ativ_col_tema_reuniao,DEEPSEEK__VS__MISTRAL,0.6666666666666666,0.846610963344574
public.rl_ativ_col_tema_reuniao,DEEPSEEK__VS__OPENAI,0.6666666666666666,0.6666662295659384
