Comparacao,Variante_A,Variante_B,N_Tabelas,HardDice_mean,SoftDice_mean,SoftDice_std,TokensIn_A,TokensIn_B,Delta_TokensIn
FK+ambos vs FK+sample_val,v10_fk_plus_sample_and_frequent,v08_fk_plus_sample_values,24,0.4166666666666667,0.80863589545091,0.1394611190237389,83443.0,65016.0,18427.0
FK isolado vs baseline,v02_plus_fk,v00_baseline,24,0.3833333333333333,0.8022241428494453,0.11248902256345968,27156.0,23246.0,3910.0
FK+freq_val vs freq_val,v09_fk_plus_frequent_values,v06_plus_frequent_values,24,0.4375,0.7904175855219364,0.15705645123056836,46805.0,42895.0,3910.0
FK+sample_val vs sample_val,v08_fk_plus_sample_values,v05_plus_sample_values,24,0.375,0.7787981016768349,0.14923905124105605,65016.0,61106.0,3910.0
FK+rows vs rows,v11_fk_plus_sample_rows,v07_plus_sample_rows,24,0.35000000000000003,0.7496934405631489,0.157286645078959,41232.0,37322.0,3910.0
