Comparacao,Variante_A,Variante_B,N_Tabelas,HardDice_mean,SoftDice_mean,SoftDice_std,TokensIn_A,TokensIn_B,Delta_TokensIn
full vs full-sem-numeric_stats,v01_full,v24_full_no_numeric_stats,24,0.39444444444444443,0.8354138246840902,0.12170201452668274,118078.0,108668.0,9410.0
numeric_stats + nullable vs nullable,v14_nullable_plus_numeric_stats,v03_plus_nullable,24,0.375,0.8046272819240888,0.12378812307668068,35396.0,24687.0,10709.0
numeric_stats sozinho,v04_plus_numeric_stats,v00_baseline,24,0.3111111111111111,0.7913134144412147,0.11673164910568955,33821.0,23246.0,10575.0
