Pergunta;Comparacao;SoftDice;Impacto;Impacto_%;Variante_A;Variante_B;Ruido;Modelo
P7;v17_sample_rows_plus_both_values vs Full;0,8157799251801121;0,12322007481988784;13,122478681564202;v17_sample_rows_plus_both_values;v01_full;0,939;OPENAI
P7;v18_fk_nullable_sample_values vs Full;0,8377929232614107;0,1012070767385892;10,778176436484472;v18_fk_nullable_sample_values;v01_full;0,939;OPENAI
P7;v19_fk_nullable_frequent_values vs Full;0,737337134617334;0,20166286538266598;21,476343491231734;v19_fk_nullable_frequent_values;v01_full;0,939;OPENAI
P7;v20_fk_nullable_both_values vs Full;0,7945303792584214;0,14446962074157854;15,38547611731401;v20_fk_nullable_both_values;v01_full;0,939;OPENAI
P7;v21_fk_nullable_sample_rows vs Full;0,8379486175815746;0,10105138241842537;10,761595571717294;v21_fk_nullable_sample_rows;v01_full;0,939;OPENAI
P7;v22_fk_nullable_sample_rows_plus_frequent vs Full;0,7976081773960996;0,14139182260390037;15,057702087742319;v22_fk_nullable_sample_rows_plus_frequent;v01_full;0,939;OPENAI
P7;v23_fk_nullable_sample_rows_plus_sample_values vs Full;0,8487716181568065;0,09022838184319348;9,608986351777794;v23_fk_nullable_sample_rows_plus_sample_values;v01_full;0,939;OPENAI
P7;v24_full_no_numeric_stats vs Full;0,899151988917903;0,0398480110820969;4,243664651980501;v24_full_no_numeric_stats;v01_full;0,939;OPENAI
P7;v25_full_no_sample_rows vs Full;0,8201817650419635;0,11881823495803645;12,653699143560859;v25_full_no_sample_rows;v01_full;0,939;OPENAI
P1;FK vs baseline;0,7781441994617576;0,14085580053824243;15,327072963900154;v02_plus_fk;v00_baseline;0,919;DEEPSEEK
P1;nullable vs baseline;0,8599655803412913;0,0590344196587087;6,423767101056442;v03_plus_nullable;v00_baseline;0,919;DEEPSEEK
P1;numeric_stats vs baseline;0,8086129421693412;0,11038705783065883;12,011649383096715;v04_plus_numeric_stats;v00_baseline;0,919;DEEPSEEK
P1;sample_values vs baseline;0,7184076557437531;0,20059234425624695;21,82724094192023;v05_plus_sample_values;v00_baseline;0,919;DEEPSEEK
P1;frequent_values vs baseline;0,7380249487502887;0,18097505124971136;19,69260622956598;v06_plus_frequent_values;v00_baseline;0,919;DEEPSEEK
P1;sample_rows vs baseline;0,737691441487661;0,18130855851233907;19,728896464889996;v07_plus_sample_rows;v00_baseline;0,919;DEEPSEEK
P2;numeric_stats sozinho;0,8086129421693412;0,11038705783065883;12,011649383096715;v04_plus_numeric_stats;v00_baseline;0,919;DEEPSEEK
P2;numeric_stats + nullable vs nullable;0,849628013922804;0,06937198607719608;7,548638310902729;v14_nullable_plus_numeric_stats;v03_plus_nullable;0,919;DEEPSEEK
P2;full vs full-sem-numeric_stats;0,8536439597986595;0,06535604020134056;7,111647464781344;v01_full;v24_full_no_numeric_stats;0,919;DEEPSEEK
P3;rows vs sample_values;0,720731795256957;0,19826820474304307;21,57434219184364;v07_plus_sample_rows;v05_plus_sample_values;0,919;DEEPSEEK
P3;rows vs frequent_values;0,7203789684640846;0,19862103153591548;21,61273466114423;v07_plus_sample_rows;v06_plus_frequent_values;0,919;DEEPSEEK
P3;rows+sample_val vs rows;0,7859879340387205;0,13301206596127957;14,473565392957516;v15_sample_rows_vs_sample_values;v07_plus_sample_rows;0,919;DEEPSEEK
P3;rows+sample_val vs sample_val;0,7944460888973536;0,12455391110264646;13,553200337611148;v15_sample_rows_vs_sample_values;v05_plus_sample_values;0,919;DEEPSEEK
P3;rows+freq_val vs rows;0,7850186356683251;0,13398136433167496;14,57903855622143;v16_sample_rows_vs_frequent_values;v07_plus_sample_rows;0,919;DEEPSEEK
P3;rows+ambos vs rows;0,7416508128657107;0,17734918713428938;19,298061712109835;v17_sample_rows_plus_both_values;v07_plus_sample_rows;0,919;DEEPSEEK
P3;full vs full-sem-rows;0,8444988983341943;0,0745011016658057;8,106757526203014;v01_full;v25_full_no_sample_rows;0,919;DEEPSEEK
P4;FK+sample_val vs sample_val;0,8132299906970794;0,10577000930292069;11,509250196182881;v08_fk_plus_sample_values;v05_plus_sample_values;0,919;DEEPSEEK
P4;FK+freq_val vs freq_val;0,8238611058833553;0,09513889411664478;10,3524367918003;v09_fk_plus_frequent_values;v06_plus_frequent_values;0,919;DEEPSEEK
P4;FK+ambos vs FK+sample_val;0,9581959631190807;-0,03919596311908069;-4,265066715895614;v10_fk_plus_sample_and_frequent;v08_fk_plus_sample_values;0,919;DEEPSEEK
