Pergunta;Comparacao;SoftDice;Impacto;Impacto_%;Variante_A;Variante_B;Ruido;Modelo
P7;v13_nullable_plus_frequent_values vs Full;0,7644284464418959;0,17457155355810405;18,59121976124644;v13_nullable_plus_frequent_values;v01_full;0,939;OPENAI
P7;v14_nullable_plus_numeric_stats vs Full;0,7838350132533171;0,1551649867466829;16,524492731276133;v14_nullable_plus_numeric_stats;v01_full;0,939;OPENAI
P7;v15_sample_rows_vs_sample_values vs Full;0,827708932635938;0,11129106736406191;11,852083851337799;v15_sample_rows_vs_sample_values;v01_full;0,939;OPENAI
P7;v16_sample_rows_vs_frequent_values vs Full;0,7532288658105258;0,1857711341894741;19,78393335351162;v16_sample_rows_vs_frequent_values;v01_full;0,939;OPENAI
P7;v17_sample_rows_plus_both_values vs Full;0,8158747935216629;0,12312520647833702;13,112375556798405;v17_sample_rows_plus_both_values;v01_full;0,939;OPENAI
P7;v18_fk_nullable_sample_values vs Full;0,8377622071699897;0,10123779283001022;10,78144758573059;v18_fk_nullable_sample_values;v01_full;0,939;OPENAI
P7;v19_fk_nullable_frequent_values vs Full;0,7373330259254226;0,20166697407457734;21,47678105160568;v19_fk_nullable_frequent_values;v01_full;0,939;OPENAI
P7;v20_fk_nullable_both_values vs Full;0,7945026662907738;0,14449733370922613;15,388427445072006;v20_fk_nullable_both_values;v01_full;0,939;OPENAI
P7;v21_fk_nullable_sample_rows vs Full;0,8380885728315617;0,10091142716843826;10,746690859258601;v21_fk_nullable_sample_rows;v01_full;0,939;OPENAI
P7;v22_fk_nullable_sample_rows_plus_frequent vs Full;0,7977339820272649;0,14126601797273508;15,044304363443567;v22_fk_nullable_sample_rows_plus_frequent;v01_full;0,939;OPENAI
P7;v23_fk_nullable_sample_rows_plus_sample_values vs Full;0,8489035615880232;0,09009643841197679;9,594934868155143;v23_fk_nullable_sample_rows_plus_sample_values;v01_full;0,939;OPENAI
P7;v24_full_no_numeric_stats vs Full;0,8992827967833631;0,039717203216636854;4,229734101878259;v24_full_no_numeric_stats;v01_full;0,939;OPENAI
P7;v25_full_no_sample_rows vs Full;0,8201503562509256;0,11884964374907436;12,657044062734224;v25_full_no_sample_rows;v01_full;0,939;OPENAI
P1;FK vs baseline;0,7781471359875044;0,14085286401249564;15,326753428998435;v02_plus_fk;v00_baseline;0,919;DEEPSEEK
P1;nullable vs baseline;0,859962957573067;0,059037042426933084;6,42405249476965;v03_plus_nullable;v00_baseline;0,919;DEEPSEEK
P1;numeric_stats vs baseline;0,8086113272765508;0,11038867272344921;12,011825105924832;v04_plus_numeric_stats;v00_baseline;0,919;DEEPSEEK
P1;sample_values vs baseline;0,7184220023485498;0,20057799765145023;21,825679831496217;v05_plus_sample_values;v00_baseline;0,919;DEEPSEEK
P1;frequent_values vs baseline;0,7380222105209923;0,18097778947900778;19,692904187051987;v06_plus_frequent_values;v00_baseline;0,919;DEEPSEEK
P1;sample_rows vs baseline;0,7376903218773959;0,18130967812260412;19,72901829408097;v07_plus_sample_rows;v00_baseline;0,919;DEEPSEEK
P2;numeric_stats sozinho;0,8086113272765508;0,11038867272344921;12,011825105924832;v04_plus_numeric_stats;v00_baseline;0,919;DEEPSEEK
P2;numeric_stats + nullable vs nullable;0,8496273599089873;0,06937264009101274;7,548709476715206;v14_nullable_plus_numeric_stats;v03_plus_nullable;0,919;DEEPSEEK
P2;full vs full-sem-numeric_stats;0,8536459197170894;0,06535408028291068;7,111434198358071;v01_full;v24_full_no_numeric_stats;0,919;DEEPSEEK
P3;rows vs sample_values;0,7207467170785331;0,19825328292146693;21,5727184898223;v07_plus_sample_rows;v05_plus_sample_values;0,919;DEEPSEEK
P3;rows vs frequent_values;0,7203789282680658;0,19862107173193422;21,612739035030927;v07_plus_sample_rows;v06_plus_frequent_values;0,919;DEEPSEEK
P3;rows+sample_val vs rows;0,7859893653072819;0,13301063469271812;14,473409651003061;v15_sample_rows_vs_sample_values;v07_plus_sample_rows;0,919;DEEPSEEK
P3;rows+sample_val vs sample_val;0,7944229712244392;0,12457702877556087;13,555715862411411;v15_sample_rows_vs_sample_values;v05_plus_sample_values;0,919;DEEPSEEK
P3;rows+freq_val vs rows;0,7850249940355098;0,1339750059644902;14,578346677311227;v16_sample_rows_vs_frequent_values;v07_plus_sample_rows;0,919;DEEPSEEK
P3;rows+ambos vs rows;0,7416512233694728;0,17734877663052728;19,298017043582945;v17_sample_rows_plus_both_values;v07_plus_sample_rows;0,919;DEEPSEEK
P3;full vs full-sem-rows;0,8444883792106449;0,07451162078935514;8,107902153357468;v01_full;v25_full_no_sample_rows;0,919;DEEPSEEK
P4;FK+sample_val vs sample_val;0,8132269141184891;0,10577308588151091;11,509584970784646;v08_fk_plus_sample_values;v05_plus_sample_values;0,919;DEEPSEEK
P4;FK+freq_val vs freq_val;0,8238698792810301;0,09513012071896998;10,351482123935797;v09_fk_plus_frequent_values;v06_plus_frequent_values;0,919;DEEPSEEK
P4;FK+ambos vs FK+sample_val;0,9581959633365796;-0,0391959633365796;-4,265066739562524;v10_fk_plus_sample_and_frequent;v08_fk_plus_sample_values;0,919;DEEPSEEK
P4;FK+rows vs rows;0,8000448488265341;0,11895515117346589;12,943977276764516;v11_fk_plus_sample_rows;v07_plus_sample_rows;0,919;DEEPSEEK
P4;FK isolado vs baseline;0,7781471359875044;0,14085286401249564;15,326753428998435;v02_plus_fk;v00_baseline;0,919;DEEPSEEK
P5;nullable+sample_val vs sample_val;0,8473407540087644;0,07165924599123563;7,797524046924442;v12_nullable_plus_sample_values;v05_plus_sample_values;0,919;DEEPSEEK
P5;nullable+freq_val vs freq_val;0,8222368407454997;0,0967631592545003;10,529179461860751;v13_nullable_plus_frequent_values;v06_plus_frequent_values;0,919;DEEPSEEK
