Comparacao,Variante_A,Variante_B,N_Tabelas,HardDice_mean,SoftDice_mean,SoftDice_std,TokensIn_A,TokensIn_B,Delta_TokensIn
full vs full-sem-rows,v01_full,v25_full_no_sample_rows,24,0.611111111111111,0.8201817522446314,0.20607127741354728,96193.0,84701.0,11492.0
rows+freq_val vs rows,v16_sample_rows_vs_frequent_values,v07_plus_sample_rows,24,0.6222222222222222,0.8149310626917415,0.16802423656102583,50265.0,33734.0,16531.0
rows vs sample_values,v07_plus_sample_rows,v05_plus_sample_values,24,0.5611111111111111,0.8107140191727215,0.18638124849093737,33734.0,50375.0,-16641.0
rows+sample_val vs sample_val,v15_sample_rows_vs_sample_values,v05_plus_sample_values,24,0.6527777777777778,0.7934889702333344,0.22072635195752144,62070.0,50375.0,11695.0
rows vs frequent_values,v07_plus_sample_rows,v06_plus_frequent_values,24,0.46527777777777773,0.7872069975568189,0.15616206697082213,33734.0,38570.0,-4836.0
rows+sample_val vs rows,v15_sample_rows_vs_sample_values,v07_plus_sample_rows,24,0.5194444444444445,0.7453618831104704,0.2424227596439759,62070.0,33734.0,28336.0
rows+ambos vs rows,v17_sample_rows_plus_both_values,v07_plus_sample_rows,24,0.4361111111111111,0.729785451789697,0.24001133033836244,77391.0,33734.0,43657.0
