Comparacao,Variante_A,Variante_B,N_Tabelas,HardDice_mean,SoftDice_mean,SoftDice_std,TokensIn_A,TokensIn_B,Delta_TokensIn
nullable vs baseline,v03_plus_nullable,v00_baseline,24,0.686111111111111,0.9079744353890419,0.11383969291445863,23491.0,22039.0,1452.0
FK vs baseline,v02_plus_fk,v00_baseline,24,0.6666666666666666,0.8529175765812397,0.15221372194056285,25459.0,22039.0,3420.0
numeric_stats vs baseline,v04_plus_numeric_stats,v00_baseline,24,0.6055555555555555,0.8453870076272222,0.17843878126492171,29876.0,22039.0,7837.0
sample_rows vs baseline,v07_plus_sample_rows,v00_baseline,24,0.4930555555555555,0.7580425408979257,0.19805492493798307,33734.0,22039.0,11695.0
frequent_values vs baseline,v06_plus_frequent_values,v00_baseline,24,0.4583333333333333,0.7440823847221004,0.21792844581322082,38570.0,22039.0,16531.0
sample_values vs baseline,v05_plus_sample_values,v00_baseline,24,0.425,0.6933222934603691,0.21950097681161826,50375.0,22039.0,28336.0
