Pergunta;Comparacao;Variante_A;Variante_B;SoftDice;Impacto;N_Tabelas;Wilcoxon_stat;p_value;p_adj_fdr;significant;Modelo
P7;v11_fk_plus_sample_rows vs Full;v11_fk_plus_sample_rows;v01_full;0,7989547017813168;0,11804529821868326;25;72,0;0,014834319480323096;0,024723865800538494;True;OPENAI
P7;v12_nullable_plus_sample_values vs Full;v12_nullable_plus_sample_values;v01_full;0,7897625552955296;0,1272374447044704;25;70,0;0,012749415563222559;0,024596887113478752;True;OPENAI
P7;v13_nullable_plus_frequent_values vs Full;v13_nullable_plus_frequent_values;v01_full;0,7403678164811406;0,17663218351885945;25;45,0;0,0015646327677513276;0,006519303198963865;True;OPENAI
P7;v14_nullable_plus_numeric_stats vs Full;v14_nullable_plus_numeric_stats;v01_full;0,8129284902979438;0,10407150970205625;25;70,0;0,012761567032142995;0,024596887113478752;True;OPENAI
P7;v15_sample_rows_vs_sample_values vs Full;v15_sample_rows_vs_sample_values;v01_full;0,8396845341024033;0,07731546589759675;25;105,0;0,1214056243191225;0,1445305051418125;False;OPENAI
P7;v16_sample_rows_vs_frequent_values vs Full;v16_sample_rows_vs_frequent_values;v01_full;0,8017328290852325;0,11526717091476757;25;83,0;0,03232577414004264;0,044896908527837;True;OPENAI
P7;v17_sample_rows_plus_both_values vs Full;v17_sample_rows_plus_both_values;v01_full;0,9031036610176579;0,013896338982342105;25;140,0;0,5437405027728583;0,5663963570550608;False;OPENAI
P7;v18_fk_nullable_sample_values vs Full;v18_fk_nullable_sample_values;v01_full;0,7952841855588803;0,12171581444111979;25;60,0;0,005787532216326648;0,018086038176020777;True;OPENAI
P7;v19_fk_nullable_frequent_values vs Full;v19_fk_nullable_frequent_values;v01_full;0,7342464242160319;0,18275357578396811;25;30,0;0,0003631790995482452;0,0030264924962353766;True;OPENAI
P7;v20_fk_nullable_both_values vs Full;v20_fk_nullable_both_values;v01_full;0,7922985997319266;0,12470140026807341;25;65,0;0,008668726406996929;0,024079795574991472;True;OPENAI
P7;v21_fk_nullable_sample_rows vs Full;v21_fk_nullable_sample_rows;v01_full;0,774805711149319;0,14219428885068108;25;68,0;0,010941988804268145;0,024596887113478752;True;OPENAI
P7;v22_fk_nullable_sample_rows_plus_frequent vs Full;v22_fk_nullable_sample_rows_plus_frequent;v01_full;0,752988950344867;0,16401104965513302;25;30,0;0,0003631790995482452;0,0030264924962353766;True;OPENAI
P7;v23_fk_nullable_sample_rows_plus_sample_values vs Full;v23_fk_nullable_sample_rows_plus_sample_values;v01_full;0,8914867878637304;0,02551321213626967;25;153,0;0,7979970628770545;0,7979970628770545;False;OPENAI
P7;v24_full_no_numeric_stats vs Full;v24_full_no_numeric_stats;v01_full;0,8658899112052038;0,05111008879479628;25;134,0;0,4426766559959957;0,48117027825651704;False;OPENAI
P7;v25_full_no_sample_rows vs Full;v25_full_no_sample_rows;v01_full;0,8041762299017037;0,11282377009829636;25;78,0;0,02282724449647031;0,03356947720069163;True;OPENAI
P1;FK vs baseline;v02_plus_fk;v00_baseline;0,821511168631137;0,101488831368863;25;79,0;0,024611978322411382;0,024611978322411382;True;DEEPSEEK
P1;nullable vs baseline;v03_plus_nullable;v00_baseline;0,8026227146231232;0,12037728537687686;25;56,0;0,004140253975929787;0,00621038096389468;True;DEEPSEEK
P1;numeric_stats vs baseline;v04_plus_numeric_stats;v00_baseline;0,7182864267002878;0,2047135732997123;25;42,0;0,0011808855854947438;0,0023617711709894877;True;DEEPSEEK
