LLM_Model,Configuracao,SoftDice_vs_full,Shift,TokensIn_mean
MISTRAL,v19_fk_nullable_frequent_values,0.6477442057927449,0.22725579420725506,74613.0
MISTRAL,v20_fk_nullable_both_values,0.621607149442037,0.253392850557963,115909.0
MISTRAL,v21_fk_nullable_sample_rows,0.5654462583859762,0.3095537416140238,54008.0
MISTRAL,v22_fk_nullable_sample_rows_plus_frequent,0.5763707184791564,0.29862928152084356,93106.0
MISTRAL,v23_fk_nullable_sample_rows_plus_sample_values,0.6756247170766194,0.19937528292338058,97632.0
MISTRAL,v24_full_no_numeric_stats,0.6424675345420837,0.23253246545791628,142574.0
MISTRAL,v25_full_no_sample_rows,0.6865742611885071,0.18842573881149294,156373.0
GEMINI,v00_baseline,0.6532067858378093,0.20779321416219065,27569.0
GEMINI,v01_full,1.0,0.0,190878.0
GEMINI,v02_plus_fk,0.6922432257334391,0.16875677426656088,27869.0
GEMINI,v03_plus_nullable,0.6404308614730836,0.2205691385269164,30409.0
GEMINI,v04_plus_numeric_stats,0.7069121201833088,0.15408787981669114,68671.0
GEMINI,v05_plus_sample_values,0.7321643822987873,0.12883561770121266,71615.0
GEMINI,v06_plus_frequent_values,0.6556331292788188,0.2053668707211812,68780.0
GEMINI,v07_plus_sample_rows,0.7124352617263794,0.1485647382736206,47830.0
GEMINI,v08_fk_plus_sample_values,0.7413167490959168,0.11968325090408316,71915.0
GEMINI,v09_fk_plus_frequent_values,0.6600054144859314,0.20099458551406857,69080.0
GEMINI,v10_fk_plus_sample_and_frequent,0.7589396389325459,0.10206036106745409,110798.0
GEMINI,v11_fk_plus_sample_rows,0.7233038099606831,0.13769619003931688,48130.0
GEMINI,v12_nullable_plus_sample_values,0.7175231062571207,0.1434768937428793,74480.0
GEMINI,v13_nullable_plus_frequent_values,0.7217291345596313,0.1392708654403687,71645.0
GEMINI,v14_nullable_plus_numeric_stats,0.7167003178596498,0.14429968214035016,71536.0
GEMINI,v15_sample_rows_vs_sample_values,0.7418622295061748,0.11913777049382523,91876.0
GEMINI,v16_sample_rows_vs_frequent_values,0.730537412961324,0.13046258703867597,89041.0
GEMINI,v17_sample_rows_plus_both_values,0.7455841698646545,0.11541583013534551,130759.0
GEMINI,v18_fk_nullable_sample_values,0.7406463812192281,0.12035361878077189,74780.0
GEMINI,v19_fk_nullable_frequent_values,0.740252017180125,0.12074798281987498,71945.0
GEMINI,v20_fk_nullable_both_values,0.7474250133832295,0.11357498661677046,113663.0
GEMINI,v21_fk_nullable_sample_rows,0.7227038064002991,0.1382961935997009,50970.0
GEMINI,v22_fk_nullable_sample_rows_plus_frequent,0.7371271425882975,0.12387285741170251,92206.0
GEMINI,v23_fk_nullable_sample_rows_plus_sample_values,0.7411868122418721,0.11981318775812788,95041.0
GEMINI,v24_full_no_numeric_stats,0.7437867051760355,0.11721329482396448,151501.0
GEMINI,v25_full_no_sample_rows,0.696330278078715,0.16466972192128504,170617.0
