Comparacao,Variante_A,Variante_B,N_Tabelas,HardDice_mean,SoftDice_mean,SoftDice_std,TokensIn_A,TokensIn_B,Delta_TokensIn
nullable+freq_val vs freq_val,v13_nullable_plus_frequent_values,v06_plus_frequent_values,25,0.6933333333333332,0.8577508735656738,0.20224377863446658,68256.0,65391.0,2865.0
nullable+sample_val vs sample_val,v12_nullable_plus_sample_values,v05_plus_sample_values,25,0.5920000000000001,0.8074550417264302,0.19728728708230953,67627.0,64762.0,2865.0
nullable isolado vs baseline,v03_plus_nullable,v00_baseline,25,0.56,0.8026183120409648,0.17688555922098803,32273.0,29433.0,2840.0
nullable+numeric_stats vs numeric_stats,v14_nullable_plus_numeric_stats,v04_plus_numeric_stats,25,0.5466666666666666,0.7924168928464254,0.1919434389771952,60880.0,58015.0,2865.0
