Tabela,Modelo,HardDice_Lex_mean,SoftDice_Sem_mean
public.rl_cds_atend_odont_tip_vig_buc,MISTRAL,1.0,0.9999994238217672
public.rl_cds_atend_odont_tip_vig_buc,OPENAI,0.7777777777777777,0.9117662376827664
public.rl_cds_atend_odonto_proced,DEEPSEEK,0.7777777777777777,0.9808045956823562
public.rl_cds_atend_odonto_proced,MISTRAL,1.0,0.9999990661938986
public.rl_cds_atend_odonto_proced,OPENAI,1.0,0.9999993244806925
public.rl_cds_atend_odonto_tipo_cnslt,DEEPSEEK,0.7777777777777777,0.9660351541307238
public.rl_cds_atend_odonto_tipo_cnslt,MISTRAL,1.0,0.9999995231628418
public.rl_cds_atend_odonto_tipo_cnslt,OPENAI,0.7777777777777777,0.9433320032225715
public.rl_cds_atend_odonto_tipo_encam,DEEPSEEK,1.0,0.9999991854031881
public.rl_cds_atend_odonto_tipo_encam,MISTRAL,1.0,0.9999993046124777
public.rl_cds_atend_odonto_tipo_encam,OPENAI,0.7777777777777777,0.9433318376541138
public.rl_cds_atend_odonto_tipo_fornc,DEEPSEEK,0.7777777777777777,0.9246544771724278
public.rl_cds_atend_odonto_tipo_fornc,MISTRAL,1.0,0.9999992847442627
public.rl_cds_atend_odonto_tipo_fornc,OPENAI,1.0,0.9999991854031881
public.rl_cds_aval_eleg_ad_tipo_inelg,DEEPSEEK,0.5666666666666668,0.772592427333196
public.rl_cds_aval_eleg_ad_tipo_inelg,MISTRAL,0.7777777777777777,0.9857324759165446
public.rl_cds_aval_eleg_ad_tipo_inelg,OPENAI,1.0,0.9999992847442627
public.rl_cds_aval_eleg_cds_situc_prs,DEEPSEEK,0.3333333333333333,0.653905471165975
public.rl_cds_aval_eleg_cds_situc_prs,MISTRAL,0.5555555555555555,0.7207030587726169
public.rl_cds_aval_eleg_cds_situc_prs,OPENAI,1.0,0.9999996423721313
public.rl_cds_ficha_atend_indivdl_prf,DEEPSEEK,1.0,0.9999994238217672
public.rl_cds_ficha_atend_indivdl_prf,MISTRAL,0.7777777777777777,0.77777718173133
public.rl_cds_ficha_atend_indivdl_prf,OPENAI,1.0,0.9999991854031881
public.rl_cds_ficha_atend_odonto_prof,DEEPSEEK,0.7777777777777777,0.9218234817186991
public.rl_cds_ficha_atend_odonto_prof,MISTRAL,0.7777777777777777,0.9439064727889166
public.rl_cds_ficha_atend_odonto_prof,OPENAI,1.0,0.9999992847442627
public.rl_cds_ficha_ativ_col_pratica,DEEPSEEK,0.7777777777777777,0.9850899113549126
public.rl_cds_ficha_ativ_col_pratica,MISTRAL,0.7777777777777777,0.7777772413359748
public.rl_cds_ficha_ativ_col_pratica,OPENAI,0.3333333333333333,0.8031678199768066
public.rl_cds_ficha_ativ_col_prof,DEEPSEEK,0.7777777777777777,0.9484934608141581
public.rl_cds_ficha_ativ_col_prof,MISTRAL,1.0,0.9999990661938986
public.rl_cds_ficha_ativ_col_prof,OPENAI,1.0,0.9999994238217672
public.rl_cds_ficha_ativ_col_pub_alvo,DEEPSEEK,1.0,0.999999463558197
public.rl_cds_ficha_ativ_col_pub_alvo,MISTRAL,1.0,0.999999483426412
public.rl_cds_ficha_ativ_col_pub_alvo,OPENAI,1.0,0.999999463558197
public.rl_cds_ficha_ativ_col_tema,DEEPSEEK,1.0,0.9999994436899821
public.rl_cds_ficha_ativ_col_tema,MISTRAL,1.0,0.9999991456667582
public.rl_cds_ficha_ativ_col_tema,OPENAI,1.0,0.9999994436899821
public.rl_cds_visita_dom_motivo,DEEPSEEK,0.3333333333333333,0.8169290688302783
public.rl_cds_visita_dom_motivo,MISTRAL,0.4444444444444444,0.77602485815684
public.rl_cds_visita_dom_motivo,OPENAI,0.7777777777777777,0.9920835958586798
public.rl_ciap_cid10,DEEPSEEK,0.7777777777777777,0.9566332962777878
public.rl_ciap_cid10,MISTRAL,0.7777777777777777,0.7777770625220404
public.rl_ciap_cid10,OPENAI,1.0,0.9999991257985433
public.rl_evol_aval_tp_vig_saude_bucl,DEEPSEEK,1.0,0.9999990860621134
public.rl_evol_aval_tp_vig_saude_bucl,MISTRAL,1.0,0.9999993840853373
public.rl_evol_aval_tp_vig_saude_bucl,OPENAI,1.0,0.9999991456667582
public.rl_evolucao_avaliacao_ciap_cid,DEEPSEEK,0.5555555555555555,0.730000012450748
public.rl_evolucao_avaliacao_ciap_cid,MISTRAL,0.5555555555555555,0.8604500956005521
public.rl_evolucao_avaliacao_ciap_cid,OPENAI,1.0,0.9999991456667582
public.rl_evolucao_odonto_parte_bucal,DEEPSEEK,0.6666666666666666,0.8736362854639689
public.rl_evolucao_odonto_parte_bucal,MISTRAL,1.0,0.9999994039535522
public.rl_evolucao_odonto_parte_bucal,OPENAI,0.7777777777777777,0.9356535077095032
public.rl_evolucao_odonto_proced,DEEPSEEK,1.0,0.9999992450078329
public.rl_evolucao_odonto_proced,MISTRAL,1.0,0.9999992648760477
public.rl_evolucao_odonto_proced,OPENAI,1.0,0.9999992648760477
public.rl_evolucao_plano_ciap,DEEPSEEK,1.0,0.9999991257985433
public.rl_evolucao_plano_ciap,MISTRAL,0.7777777777777777,0.7777770890129938
public.rl_evolucao_plano_ciap,OPENAI,0.7777777777777777,0.9726845092243618
public.rl_evolucao_subjetivo_ciap,DEEPSEEK,0.5555555555555555,0.8809514111942716
public.rl_evolucao_subjetivo_ciap,MISTRAL,0.5555555555555555,0.8634685807757908
public.rl_evolucao_subjetivo_ciap,OPENAI,1.0,0.9999993840853373
public.rl_grupo_condicao_ciap_cid,DEEPSEEK,1.0,0.999999463558197
public.rl_grupo_condicao_ciap_cid,MISTRAL,0.5555555555555555,0.7203817500008478
public.rl_grupo_condicao_ciap_cid,OPENAI,0.3333333333333333,0.8197953568564521
public.rl_historico_cabecalho,DEEPSEEK,1.0,0.9999992847442627
public.rl_historico_cabecalho,MISTRAL,0.5555555555555555,0.8486619856622485
public.rl_historico_cabecalho,OPENAI,0.3333333333333333,0.8193642364607917
public.rl_inscrito_topico_notificacao,DEEPSEEK,1.0,0.999999483426412
public.rl_inscrito_topico_notificacao,MISTRAL,1.0,0.9999991854031881
public.rl_inscrito_topico_notificacao,OPENAI,1.0,0.999999205271403
public.rl_manifest_alergiaevolucao,DEEPSEEK,0.7777777777777777,0.9190144472652012
public.rl_manifest_alergiaevolucao,MISTRAL,1.0,0.999999483426412
public.rl_manifest_alergiaevolucao,OPENAI,0.3333333333333333,0.7593498826026917
public.rl_perfil_cbo_padrao,DEEPSEEK,0.5555555555555555,0.8814767532878451
public.rl_perfil_cbo_padrao,MISTRAL,0.2222222222222222,0.8165989319483439
public.rl_perfil_cbo_padrao,OPENAI,0.7777777777777777,0.7777770691447787
public.rl_proced_atributo_complem,DEEPSEEK,1.0,0.9999990264574686
public.rl_proced_atributo_complem,MISTRAL,0.6666666666666666,0.7247812350591024
public.rl_proced_atributo_complem,OPENAI,0.7777777777777777,0.9551350937949286
public.rl_proced_cbo,DEEPSEEK,0.7777777777777777,0.9037272930145264
public.rl_proced_cbo,MISTRAL,0.2222222222222222,0.8082710372077093
public.rl_proced_cbo,OPENAI,0.5555555555555555,0.8426957262886895
public.rl_proced_cds_proced,DEEPSEEK,0.4444444444444444,0.8938339749972025
public.rl_proced_cds_proced,MISTRAL,0.3333333333333333,0.9596437083350287
public.rl_proced_cds_proced,OPENAI,1.0,0.9999992847442627
public.rl_proced_cid10,DEEPSEEK,1.0,0.9999991854031881
public.rl_proced_cid10,MISTRAL,1.0,0.9999991059303284
public.rl_proced_cid10,OPENAI,0.7777777777777777,0.9622781541612412
public.rl_proced_exame_detalhe,DEEPSEEK,1.0,0.9999993443489075
public.rl_proced_exame_detalhe,MISTRAL,0.8666666666666667,0.8666659692923228
public.rl_proced_exame_detalhe,OPENAI,0.8666666666666667,0.8666660957866245
public.rl_proced_grupo_exame,DEEPSEEK,1.0,0.999999483426412
public.rl_proced_grupo_exame,MISTRAL,0.4444444444444444,0.932883467939165
public.rl_proced_grupo_exame,OPENAI,1.0,0.9999993046124777
public.rl_proced_tipo_registro,DEEPSEEK,1.0,0.9999991854031881
public.rl_proced_tipo_registro,MISTRAL,1.0,0.9999993642171224
public.rl_proced_tipo_registro,OPENAI,1.0,0.9999992648760477
public.rl_prof_municipio,DEEPSEEK,0.6,0.7848555306593576
public.rl_prof_municipio,MISTRAL,0.26666666666666666,0.6840087705188328
public.rl_prof_municipio,OPENAI,0.2222222222222222,0.42413642671373153
public.rl_qst_associacao_opcao_pergnt,DEEPSEEK,0.3333333333333333,0.8327581816249423
public.rl_qst_associacao_opcao_pergnt,MISTRAL,0.0,0.6090986529986063
public.rl_qst_associacao_opcao_pergnt,OPENAI,1.0,0.999999463558197
public.rl_qst_resposta_opcao_pergunta,DEEPSEEK,1.0,0.9999992648760477
public.rl_qst_resposta_opcao_pergunta,MISTRAL,1.0,0.9999993046124777
public.rl_qst_resposta_opcao_pergunta,OPENAI,1.0,0.9999993443489075
