Comparacao,Variante_A,Variante_B,N_Tabelas,HardDice_mean,SoftDice_mean,SoftDice_std,TokensIn_A,TokensIn_B,Delta_TokensIn
sample_rows vs baseline,v07_plus_sample_rows,v00_baseline,25,0.36,0.7395896053314209,0.20577367557324397,50893.0,29745.0,21148.0
nullable vs baseline,v03_plus_nullable,v00_baseline,25,0.38666666666666666,0.7078835940361023,0.2260914642561553,32585.0,29745.0,2840.0
numeric_stats vs baseline,v04_plus_numeric_stats,v00_baseline,25,0.3733333333333333,0.7013605380058289,0.17602980006472702,70822.0,29745.0,41077.0
frequent_values vs baseline,v06_plus_frequent_values,v00_baseline,25,0.30666666666666664,0.7004390223821004,0.20883117800155807,71498.0,29745.0,41753.0
sample_values vs baseline,v05_plus_sample_values,v00_baseline,25,0.30666666666666664,0.6907176009813945,0.20209150874405543,73344.0,29745.0,43599.0
FK vs baseline,v02_plus_fk,v00_baseline,25,0.30666666666666664,0.6811596147219341,0.19046002640839022,29995.0,29745.0,250.0
