Threshold,AvgSoftDice
0.0,0.5612571063088156
0.05,0.5612571063088156
0.1,0.5612571063088156
0.15000000000000002,0.5612571063088156
0.2,0.5609023940239308
0.25,0.5601617847046816
0.30000000000000004,0.5561910157244465
0.35000000000000003,0.5407286805198968
0.4,0.49576026849268334
0.45,0.43188206030013687
0.5,0.3797594263519549
0.55,0.3395175307093921
0.6000000000000001,0.3008387395577029
0.65,0.2571088435954182
0.7000000000000001,0.20660872238421912
0.75,0.15336328151796885
0.8,0.11762290243807207
0.8500000000000001,0.0916842299670233
0.9,0.0689476468802495
0.9500000000000001,0.06465896942692687
1.0,0.0
