LLM_Model,Configuracao,SoftDice_vs_full,Shift,TokensIn_mean
MISTRAL,v20_fk_nullable_both_values,0.7398203801777626,0.15617961982223738,87069.0
MISTRAL,v21_fk_nullable_sample_rows,0.7133172195818688,0.18268278041813124,43020.0
MISTRAL,v22_fk_nullable_sample_rows_plus_frequent,0.7143741018242307,0.18162589817576935,63322.0
MISTRAL,v23_fk_nullable_sample_rows_plus_sample_values,0.789834339585569,0.10616566041443098,81901.0
MISTRAL,v24_full_no_numeric_stats,0.8388086019290818,0.05719139807091822,110130.0
MISTRAL,v25_full_no_sample_rows,0.7594614939557182,0.13653850604428186,105589.0
GEMINI,v00_baseline,0.6967331858144865,0.16426681418551348,23246.0
GEMINI,v01_full,1.0,0.0,118078.0
GEMINI,v02_plus_fk,0.7203823983669281,0.1406176016330719,27156.0
GEMINI,v03_plus_nullable,0.6956110791199738,0.1653889208800262,24687.0
GEMINI,v04_plus_numeric_stats,0.6961110660599338,0.1648889339400662,33821.0
GEMINI,v05_plus_sample_values,0.7339110376106369,0.12708896238936307,61106.0
GEMINI,v06_plus_frequent_values,0.7275044673846828,0.13349553261531721,42895.0
GEMINI,v07_plus_sample_rows,0.7386958724922602,0.12230412750773978,37322.0
GEMINI,v08_fk_plus_sample_values,0.7356111430459552,0.12538885695404478,65016.0
GEMINI,v09_fk_plus_frequent_values,0.720816476477517,0.14018352352248298,46805.0
GEMINI,v10_fk_plus_sample_and_frequent,0.7400749555892414,0.12092504441075858,83443.0
GEMINI,v11_fk_plus_sample_rows,0.7241598809758822,0.13684011902411775,41232.0
GEMINI,v12_nullable_plus_sample_values,0.7343378028935857,0.12666219710641424,62681.0
GEMINI,v13_nullable_plus_frequent_values,0.7367307561967108,0.12426924380328919,44470.0
GEMINI,v14_nullable_plus_numeric_stats,0.6761882306800949,0.18481176931990506,35396.0
GEMINI,v15_sample_rows_vs_sample_values,0.7945267569687632,0.0664732430312368,75182.0
GEMINI,v16_sample_rows_vs_frequent_values,0.7915041006273694,0.06949589937263057,56971.0
GEMINI,v17_sample_rows_plus_both_values,0.7782644748687743,0.08273552513122573,93609.0
GEMINI,v18_fk_nullable_sample_values,0.7929276554948753,0.06807234450512467,66591.0
GEMINI,v19_fk_nullable_frequent_values,0.7585137685139974,0.10248623148600255,48380.0
GEMINI,v20_fk_nullable_both_values,0.7821908517016305,0.07880914829836949,85018.0
GEMINI,v21_fk_nullable_sample_rows,0.7316872547070185,0.12931274529298153,42673.0
GEMINI,v22_fk_nullable_sample_rows_plus_frequent,0.7586411704619725,0.10235882953802744,62456.0
GEMINI,v23_fk_nullable_sample_rows_plus_sample_values,0.7856851976778773,0.07531480232212273,80667.0
GEMINI,v24_full_no_numeric_stats,0.8353993846310509,0.025600615368949087,108668.0
GEMINI,v25_full_no_sample_rows,0.7929910002483261,0.06800899975167385,104004.0
