schema,table,row_count,column_count,pk,status,execution_seconds,attempts,processed_at,error
nhanes_laboratory,ssglyp_j,2986.0,4,,success,0.03,1,2026-06-11T21:18:50.279981,
nhanes_laboratory,ssneon_j,2986.0,12,,success,0.1,1,2026-06-11T21:18:51.054405,
nhanes_laboratory,sspfas_j,1672.0,12,,success,0.07,1,2026-06-11T21:18:51.824060,
nhanes_laboratory,sstst_j,7435.0,29,,success,0.61,1,2026-06-11T21:18:53.233533,
nhanes_laboratory,ssuvcm_j,2979.0,6,,success,0.04,1,2026-06-11T21:18:53.954579,
nhanes_laboratory,ssuvoc_j,2979.0,12,,success,0.12,1,2026-06-11T21:18:54.685328,
nhanes_laboratory,tchol_j,7435.0,3,,success,0.04,1,2026-06-11T21:18:55.484886,
nhanes_laboratory,tfr_j,7332.0,3,,success,0.04,1,2026-06-11T21:18:56.205197,
nhanes_laboratory,trigly_j,3036.0,10,,success,0.1,1,2026-06-11T21:18:56.943342,
nhanes_laboratory,uas_j,2979.0,14,,success,0.14,1,2026-06-11T21:18:57.762314,
nhanes_laboratory,ucflow_j,7936.0,10,,success,0.14,1,2026-06-11T21:18:58.503223,
nhanes_laboratory,ucm_j,2979.0,4,,success,0.03,1,2026-06-11T21:18:59.217148,
nhanes_laboratory,ucot_j,2979.0,24,,success,0.21,1,2026-06-11T21:19:00.153368,
nhanes_laboratory,ucpreg_j,1057.0,2,,success,0.02,1,2026-06-11T21:19:00.827867,
nhanes_laboratory,uhg_j,2979.0,4,,success,0.03,1,2026-06-11T21:19:01.763528,
nhanes_laboratory,uio_j,2979.0,4,,success,0.04,1,2026-06-11T21:19:02.553592,
nhanes_laboratory,um_j,2979.0,24,,success,0.19,1,2026-06-11T21:19:03.422762,
nhanes_laboratory,uni_j,2979.0,4,,success,0.03,1,2026-06-11T21:19:04.202144,
nhanes_laboratory,uphopm_j,2986.0,18,,success,0.13,1,2026-06-11T21:19:05.100242,
nhanes_laboratory,utas_j,2979.0,4,,success,0.09,1,2026-06-11T21:19:05.983610,
nhanes_laboratory,uvoc_j,2979.0,46,,success,0.73,1,2026-06-11T21:19:07.616230,
nhanes_laboratory,vic_j,7435.0,4,,success,0.06,1,2026-06-11T21:19:08.434444,
nhanes_laboratory,vid_j,8366.0,9,,success,0.2,1,2026-06-11T21:19:09.382676,
nhanes_laboratory,vitaec_j,7435.0,40,,success,1.16,1,2026-06-11T21:19:11.310855,
nhanes_laboratory,vocwb_j,3172.0,82,,success,1.26,1,2026-06-11T21:19:13.431707,
nhanes_questionnaire,acq_j,8421.0,6,,success,0.1,1,2026-06-11T21:19:14.292945,
nhanes_questionnaire,alq_j,5533.0,10,,success,0.22,1,2026-06-11T21:19:15.506286,
nhanes_questionnaire,auq_j,8897.0,58,,success,0.97,1,2026-06-11T21:19:17.352142,
nhanes_questionnaire,bpq_j,6161.0,11,,success,0.14,1,2026-06-11T21:19:18.150544,
nhanes_questionnaire,cbq_j,9254.0,6,,success,0.14,1,2026-06-11T21:19:19.203372,
nhanes_questionnaire,cbqpfa_j,5264.0,66,,success,2.0,1,2026-06-11T21:19:21.972764,
nhanes_questionnaire,cbqpfc_j,2045.0,72,,success,0.8,1,2026-06-11T21:19:23.469521,
nhanes_questionnaire,cdq_j,3882.0,17,,success,0.14,1,2026-06-11T21:19:24.661566,
nhanes_questionnaire,dbq_j,9254.0,46,,success,0.92,1,2026-06-11T21:19:26.672981,
nhanes_questionnaire,deq_j,3419.0,9,,success,0.07,1,2026-06-11T21:19:27.590370,
nhanes_questionnaire,diq_j,8897.0,54,,success,1.07,1,2026-06-11T21:19:29.434699,
nhanes_questionnaire,dlq_j,8897.0,13,,success,0.22,1,2026-06-11T21:19:30.522997,
nhanes_questionnaire,dpq_j,5533.0,11,,success,0.14,1,2026-06-11T21:19:31.404455,
nhanes_questionnaire,duq_j,4572.0,41,,success,0.4,1,2026-06-11T21:19:32.614736,
nhanes_questionnaire,ecq_j,3093.0,10,,success,0.05,1,2026-06-11T21:19:33.314232,
nhanes_questionnaire,fsq_j,9254.0,49,,success,1.38,1,2026-06-11T21:19:35.400254,
nhanes_questionnaire,heq_j,7878.0,5,,success,0.05,1,2026-06-11T21:19:36.351737,
nhanes_questionnaire,hiq_j,9254.0,16,,success,0.21,1,2026-06-11T21:19:37.873636,
nhanes_questionnaire,hoq_j,9254.0,3,,success,0.05,1,2026-06-11T21:19:38.890630,
nhanes_questionnaire,hsq_j,8366.0,9,,success,0.14,1,2026-06-11T21:19:39.788932,
nhanes_questionnaire,huq_j,9254.0,10,,success,0.17,1,2026-06-11T21:19:40.741913,
nhanes_questionnaire,imq_j,9254.0,11,,success,0.15,1,2026-06-11T21:19:41.750909,
nhanes_questionnaire,inq_j,9254.0,16,,success,0.25,1,2026-06-11T21:19:42.899644,
nhanes_questionnaire,kiq_u_j,5569.0,16,,success,0.29,1,2026-06-11T21:19:44.039714,
nhanes_questionnaire,mcq_j,8897.0,76,,success,2.21,1,2026-06-11T21:19:47.397847,
nhanes_questionnaire,ocq_j,6161.0,10,,success,0.1,1,2026-06-11T21:19:48.277805,
nhanes_questionnaire,ohq_j,8897.0,44,,success,1.01,1,2026-06-11T21:19:50.244601,
nhanes_questionnaire,osq_j,3069.0,95,,success,0.8,1,2026-06-11T21:19:51.922078,
nhanes_questionnaire,paq_j,5856.0,17,,success,0.2,1,2026-06-11T21:19:53.248574,
nhanes_questionnaire,paqy_j,2778.0,4,,success,0.06,1,2026-06-11T21:19:54.556653,
nhanes_questionnaire,pfq_j,8421.0,36,,success,0.79,1,2026-06-11T21:19:56.524013,
nhanes_questionnaire,puqmec_j,7435.0,3,,success,0.04,1,2026-06-11T21:19:57.927218,
nhanes_questionnaire,rhq_j,3286.0,47,,success,0.52,1,2026-06-11T21:19:59.287850,
nhanes_questionnaire,rxq_rx_j,19643.0,13,,success,0.71,1,2026-06-11T21:20:00.909684,
nhanes_questionnaire,rxqasa_j,3882.0,8,,success,0.08,1,2026-06-11T21:20:01.883474,
nhanes_questionnaire,slq_j,6161.0,11,,success,0.15,1,2026-06-11T21:20:02.925170,
nhanes_questionnaire,smq_j,6724.0,37,,success,0.47,1,2026-06-11T21:20:04.299356,
nhanes_questionnaire,smqfam_j,9254.0,4,,success,0.07,1,2026-06-11T21:20:05.272550,
nhanes_questionnaire,smqrtu_j,6401.0,27,,success,0.33,1,2026-06-11T21:20:06.816946,
nhanes_questionnaire,smqshs_j,9254.0,15,,success,0.32,1,2026-06-11T21:20:08.298162,
nhanes_questionnaire,vtq_j,3172.0,23,,success,0.19,1,2026-06-11T21:20:09.557518,
nhanes_questionnaire,whq_j,6161.0,37,,success,0.74,1,2026-06-11T21:20:11.313075,
nhanes_questionnaire,whqmec_j,1304.0,4,,success,0.03,1,2026-06-11T21:20:12.374933,
public,nhanes_catalog,0.0,7,id,success,0.02,1,2026-06-11T21:20:13.297373,
