Tipo,Alvo,HardDice_Lex_mean,SoftDice_Sem_mean,N_Tabelas
INTRA,DEEPSEEK,0.7970253718285214,0.9232103595218425,127
INTRA,MISTRAL,0.6981627296587927,0.8750929208252375,127
INTRA,OPENAI,0.8215223097112859,0.9167372743914446,127
INTER,DEEPSEEK__VS__MISTRAL,0.06544181977252843,0.404278731460855,127
INTER,DEEPSEEK__VS__OPENAI,0.059784193642461354,0.30575685538297215,127
INTER,MISTRAL__VS__OPENAI,0.06620005832604256,0.429143470085964,127
