Base,N_Pares,N_Match,Melhor_Threshold,F1,Accuracy,Precision,Recall
magento2,100,68,0.4,0.8516,0.77,0.7586,0.9706
nhanes,98,54,0.49,0.9027,0.8878,0.8644,0.9444
teixeira,99,63,0.4,0.8108,0.7172,0.7059,0.9524
