Threshold,AvgSoftDice
0.0,0.6945614605254024
0.05,0.6945614605254024
0.1,0.6945614605254024
0.15000000000000002,0.6945614605254024
0.2,0.6945256319483046
0.25,0.6943440795316436
0.30000000000000004,0.6932460840585517
0.35000000000000003,0.6902192800155765
0.4,0.6810236057316716
0.45,0.6616705192764276
0.5,0.6350469799926276
0.55,0.600814058168784
0.6000000000000001,0.5525436392050453
0.65,0.47573742023619886
0.7000000000000001,0.3902877128014482
0.75,0.3134936602413966
0.8,0.24478736688213185
0.8500000000000001,0.19353182210810488
0.9,0.1580377782561036
0.9500000000000001,0.13083766687811854
1.0,0.0
