Base,N_Pares,N_Match,Melhor_Threshold,F1,Accuracy,Precision,Recall
magento2,100,63,0.51,0.8571,0.83,0.9107,0.8095
nhanes,100,54,0.49,0.9298,0.92,0.8833,0.9815
teixeira,100,51,0.49,0.8288,0.81,0.7667,0.902
