Tabela,Modelo,HardDice_Lex_mean,SoftDice_Sem_mean
magento2.catalog_product_entity_datetime,MISTRAL,0.5555555555555555,0.8143593139118619
magento2.catalog_product_entity_datetime,OPENAI,0.5555555555555555,0.848414613140954
magento2.catalog_product_entity_decimal,DEEPSEEK,1.0,0.9999994436899821
magento2.catalog_product_entity_decimal,MISTRAL,0.5555555555555555,0.8812598453627691
magento2.catalog_product_entity_decimal,OPENAI,0.3333333333333333,0.8593788610564338
magento2.catalog_product_entity_gallery,DEEPSEEK,0.7777777777777777,0.9525794386863708
magento2.catalog_product_entity_gallery,MISTRAL,0.7777777777777777,0.9289837678273519
magento2.catalog_product_entity_gallery,OPENAI,1.0,0.9999993046124777
magento2.catalog_product_entity_group_price,DEEPSEEK,0.5555555555555555,0.9213223589791192
magento2.catalog_product_entity_group_price,MISTRAL,0.0,0.86160370376375
magento2.catalog_product_entity_group_price,OPENAI,0.4444444444444444,0.8459607428974576
magento2.catalog_product_entity_int,DEEPSEEK,0.3333333333333333,0.7879177795516119
magento2.catalog_product_entity_int,MISTRAL,1.0,0.9999993443489075
magento2.catalog_product_entity_int,OPENAI,0.7777777777777777,0.9194262292650012
magento2.catalog_product_entity_media_gallery,DEEPSEEK,1.0,0.9999993046124777
magento2.catalog_product_entity_media_gallery,MISTRAL,0.3333333333333333,0.9209053715070089
magento2.catalog_product_entity_media_gallery,OPENAI,0.5555555555555555,0.8824594418207804
magento2.catalog_product_entity_media_gallery_value,DEEPSEEK,0.3333333333333333,0.7945184442732071
magento2.catalog_product_entity_media_gallery_value,MISTRAL,1.0,0.9999993046124777
magento2.catalog_product_entity_media_gallery_value,OPENAI,0.5555555555555555,0.8463492194811503
magento2.catalog_product_entity_text,DEEPSEEK,1.0,0.9999995430310568
magento2.catalog_product_entity_text,MISTRAL,1.0,0.9999993046124777
magento2.catalog_product_entity_text,OPENAI,0.3333333333333333,0.9683410988913642
magento2.catalog_product_entity_tier_price,DEEPSEEK,1.0,0.9999995628992716
magento2.catalog_product_entity_tier_price,MISTRAL,0.5555555555555555,0.9374996754858228
magento2.catalog_product_entity_tier_price,OPENAI,1.0,0.9999990661938986
magento2.catalog_product_entity_varchar,DEEPSEEK,1.0,0.9999994436899821
magento2.catalog_product_entity_varchar,MISTRAL,0.6666666666666666,0.8934012254079183
magento2.catalog_product_entity_varchar,OPENAI,1.0,0.9999994238217672
magento2.catalog_product_index_eav,DEEPSEEK,0.7777777777777777,0.9588713712162442
magento2.catalog_product_index_eav,MISTRAL,0.5555555555555555,0.8222111860911051
magento2.catalog_product_index_eav,OPENAI,0.7777777777777777,0.9215732084380256
magento2.catalog_product_index_eav_decimal,DEEPSEEK,1.0,0.9999993244806925
magento2.catalog_product_index_eav_decimal,MISTRAL,0.1111111111111111,0.711920976638794
magento2.catalog_product_index_eav_decimal,OPENAI,0.7777777777777777,0.9936042030652364
magento2.catalog_product_index_eav_decimal_idx,DEEPSEEK,1.0,0.9999993244806925
magento2.catalog_product_index_eav_decimal_idx,MISTRAL,0.4444444444444444,0.778501292069753
magento2.catalog_product_index_eav_decimal_idx,OPENAI,0.7777777777777777,0.958556804392073
magento2.catalog_product_index_eav_decimal_tmp,DEEPSEEK,0.7777777777777777,0.9278075959947375
magento2.catalog_product_index_eav_decimal_tmp,MISTRAL,1.0,0.9999993443489075
magento2.catalog_product_index_eav_decimal_tmp,OPENAI,0.7777777777777777,0.9936041831970215
magento2.catalog_product_index_eav_idx,DEEPSEEK,1.0,0.9999993244806925
magento2.catalog_product_index_eav_idx,MISTRAL,0.3333333333333333,0.6694747606913248
magento2.catalog_product_index_eav_idx,OPENAI,0.3333333333333333,0.8236123124758402
magento2.catalog_product_index_eav_tmp,DEEPSEEK,0.5555555555555555,0.7551191449165344
magento2.catalog_product_index_eav_tmp,MISTRAL,0.3333333333333333,0.8028870953453912
magento2.catalog_product_index_eav_tmp,OPENAI,0.5555555555555555,0.8441144956482781
magento2.catalog_product_index_group_price,DEEPSEEK,0.7777777777777777,0.9707264237933688
magento2.catalog_product_index_group_price,MISTRAL,0.3333333333333333,0.8926689359876844
magento2.catalog_product_index_group_price,OPENAI,1.0,0.9999990860621134
magento2.catalog_product_index_price,DEEPSEEK,0.7777777777777777,0.9967792630195618
magento2.catalog_product_index_price,MISTRAL,0.5555555555555555,0.8414164317978753
magento2.catalog_product_index_price,OPENAI,1.0,0.9999992251396179
magento2.catalog_product_index_price_bundle_idx,DEEPSEEK,1.0,0.9999993840853373
magento2.catalog_product_index_price_bundle_idx,MISTRAL,0.7777777777777777,0.9974504907925924
magento2.catalog_product_index_price_bundle_idx,OPENAI,0.7777777777777777,0.9527167677879333
magento2.catalog_product_index_price_bundle_opt_idx,DEEPSEEK,1.0,0.9999994238217672
magento2.catalog_product_index_price_bundle_opt_idx,MISTRAL,0.6666666666666666,0.9109168118900723
magento2.catalog_product_index_price_bundle_opt_idx,OPENAI,0.5555555555555555,0.9274716311030917
