Comparacao,Variante_A,Variante_B,N_Tabelas,HardDice_mean,SoftDice_mean,SoftDice_std,TokensIn_A,TokensIn_B,Delta_TokensIn
FK vs baseline,v02_plus_fk,v00_baseline,25,0.6533333333333333,0.8360404117902119,0.17670601282953186,26918.0,26668.0,250.0
sample_rows vs baseline,v07_plus_sample_rows,v00_baseline,25,0.6133333333333333,0.8204460374514262,0.17313452682723332,44387.0,26668.0,17719.0
nullable vs baseline,v03_plus_nullable,v00_baseline,25,0.5733333333333333,0.8168044312795003,0.17291370623941718,29533.0,26668.0,2865.0
sample_values vs baseline,v05_plus_sample_values,v00_baseline,25,0.5866666666666667,0.8016586375236511,0.19743989036366563,61986.0,26668.0,35318.0
numeric_stats vs baseline,v04_plus_numeric_stats,v00_baseline,25,0.56,0.7974499281247457,0.18168722876853863,55275.0,26668.0,28607.0
frequent_values vs baseline,v06_plus_frequent_values,v00_baseline,25,0.4933333333333333,0.7420107968648274,0.21867670969653105,62623.0,26668.0,35955.0
