cluster_id,cluster_label,n_tables_in_cluster,table
8,lbxhct | lbxcot | lbdhctlc,2,nhanes_laboratory.cbc_j
8,lbxhct | lbxcot | lbdhctlc,2,nhanes_laboratory.cot_j
9,urxmal | urdmallc | uphopm,1,nhanes_laboratory.uphopm_j
10,urxucm | urducmlc | ucm,1,nhanes_laboratory.ucm_j
11,ohdexsts | ohddests | ohxrreso,2,nhanes_examination.ohxden_j
11,ohdexsts | ohddests | ohxrreso,2,nhanes_examination.ohxref_j
12,lbxvidms | vid | lbdvidlc,1,nhanes_laboratory.vid_j
13,dsqtmfat | dsqtzinc | dsqtvk,1,nhanes_dietary.dsqtot_j
14,dsdsupp | dsdpid | drdint,2,nhanes_dietary.ds1ids_j
14,dsdsupp | dsdpid | drdint,2,nhanes_dietary.ds2ids_j
15,urxhem | urdamclc | urxgam,1,nhanes_laboratory.uvoc_j
16,lbxpfhs | lbxpfde | lbxmpah,1,nhanes_laboratory.pfas_j
17,lbxglu | lbdglusi | glu,1,nhanes_laboratory.glu_j
18,urdusnlc | urxucs | urdusblc,1,nhanes_laboratory.um_j
19,ssandlc | ssfluplc | ssflup,1,nhanes_laboratory.ssneon_j
