Threshold,AvgSoftDice
0.0,0.7095027257554358
0.05,0.7095027257554358
0.1,0.7094716052499502
0.15000000000000002,0.7094028009814248
0.2,0.7091226133040457
0.25,0.707922350581349
0.30000000000000004,0.7044974601489528
0.35000000000000003,0.6949852769521354
0.4,0.6770830684304529
0.45,0.6540657605248166
0.5,0.6292254417944696
0.55,0.6038825533297252
0.6000000000000001,0.5746599803227315
0.65,0.5227900943372292
0.7000000000000001,0.4575444622029651
0.75,0.38756497336604684
0.8,0.3345964563794238
0.8500000000000001,0.30227789279539363
0.9,0.2793718219680617
0.9500000000000001,0.2553713087989187
1.0,0.0011299435028248588
